stimulusValue,stimulusValueType,stimulusType,correctResponse,keyCode,response
guilt,text,HF_38.92,word,J,word
zrngc,text,NW_illegal,non-word,F,non-word
bench,text,LF_20.36,word,J,word
grief,text,LF_16.45,word,J,word
ghost,text,HF_21.02,word,J,word
hlpgm,text,NW_illegal,non-word,F,non-word
enemy,text,HF_52.71,word,J,word
noise,text,HF_62.71,word,J,word
uncle,text,HF_62.35,word,J,word
nerve,text,LF_15,word,J,word
cedar,text,LF_2.29,word,J,word
globe,text,LF_10.9,word,J,word
mwvcl,text,NW_illegal,non-word,F,non-word
brldc,text,NW_illegal,non-word,F,non-word
txjqp,text,NW_illegal,non-word,F,non-word
guest,text,HF_25.78,word,J,word
xnfpl,text,NW_illegal,non-word,F,non-word
pzktw,text,NW_illegal,non-word,F,non-word
shark,text,LF_14.76,word,J,word
hxcgj,text,NW_illegal,non-word,F,non-word
qdlvr,text,NW_illegal,non-word,F,non-word
gxdzk,text,NW_illegal,non-word,F,non-word
spine,text,LF_12.17,word,J,word
jhbvt,text,NW_illegal,non-word,F,non-word
bfctg,text,NW_illegal,non-word,F,non-word
rjtbw,text,NW_illegal,non-word,F,non-word
flair,text,LF_3.19,word,J,word
wmvrl,text,NW_illegal,non-word,F,non-word
union,text,HF_200.24,word,J,word
ranch,text,LF_5.9,word,J,word
clrmg,text,NW_illegal,non-word,F,non-word
gtqrh,text,NW_illegal,non-word,F,non-word
hcwgz,text,NW_illegal,non-word,F,non-word
thorn,text,LF_5.36,word,J,word
pcvqh,text,NW_illegal,non-word,F,non-word
chord,text,LF_2.35,word,J,word
pznmg,text,NW_illegal,non-word,F,non-word
dxcjf,text,NW_illegal,non-word,F,non-word
gloom,text,LF_11.45,word,J,word
brain,text,HF_71.87,word,J,word
tpbzr,text,NW_illegal,non-word,F,non-word
hnxjd,text,NW_illegal,non-word,F,non-word
qghjp,text,NW_illegal,non-word,F,non-word
bread,text,HF_77.95,word,J,word
pkjvc,text,NW_illegal,non-word,F,non-word
lwvqh,text,NW_illegal,non-word,F,non-word
brick,text,HF_28.98,word,J,word
graph,text,LF_3.01,word,J,word
organ,text,LF_13.61,word,J,word
dhmpc,text,NW_illegal,non-word,F,non-word
lzgrb,text,NW_illegal,non-word,F,non-word
mzjcp,text,NW_illegal,non-word,F,non-word
fbkdj,text,NW_illegal,non-word,F,non-word
juice,text,HF_21.81,word,J,word
bacon,text,LF_16.93,word,J,word
grain,text,HF_27.59,word,J,word
abyss,text,LF_3.92,word,J,word
clock,text,HF_37.17,word,J,word
metal,text,HF_46.99,word,J,word
qhmrt,text,NW_illegal,non-word,F,non-word
drama,text,HF_22.35,word,J,word
rgzxb,text,NW_illegal,non-word,F,non-word
xtzmg,text,NW_illegal,non-word,F,non-word
vmbtc,text,NW_illegal,non-word,F,non-word
camel,text,LF_8.8,word,J,word
jvrwg,text,NW_illegal,non-word,F,non-word
zmprw,text,NW_illegal,non-word,F,non-word
shirt,text,HF_48.13,word,J,word
fruit,text,HF_60.24,word,J,word
dbqrk,text,NW_illegal,non-word,F,non-word
tdzvn,text,NW_illegal,non-word,F,non-word
ocean,text,HF_25.72,word,J,word
glass,text,HF_132.05,word,J,word
htzwc,text,NW_illegal,non-word,F,non-word
rbnvt,text,NW_illegal,non-word,F,non-word
digit,text,LF_1.02,word,J,word
robot,text,LF_3.98,word,J,word
grove,text,LF_8.55,word,J,word
rmdgz,text,NW_illegal,non-word,F,non-word
hotel,text,HF_127.17,word,J,word
tooth,text,LF_13.73,word,J,word
crime,text,HF_48.98,word,J,word
faith,text,HF_51.51,word,J,word
rolly,text,NW_legal,non-word,F,non-word
lound,text,NW_legal,non-word,F,non-word
nusty,text,NW_legal,non-word,F,non-word
tiger,text,LF_9.34,word,J,word
blick,text,NW_legal,non-word,F,non-word
saunt,text,NW_legal,non-word,F,non-word
actor,text,HF_45.78,word,J,word
datch,text,NW_legal,non-word,F,non-word
style,text,HF_90.54,word,J,word
peace,text,HF_91.87,word,J,word
caker,text,NW_legal,non-word,F,non-word
grame,text,NW_legal,non-word,F,non-word
sover,text,NW_legal,non-word,F,non-word
event,text,HF_60.6,word,J,word
slank,text,NW_legal,non-word,F,non-word
chess,text,LF_15.54,word,J,word
blate,text,NW_legal,non-word,F,non-word
slock,text,NW_legal,non-word,F,non-word
cabin,text,HF_29.22,word,J,word
fever,text,HF_27.47,word,J,word
comet,text,LF_1.57,word,J,word
howed,text,NW_legal,non-word,F,non-word
fally,text,NW_legal,non-word,F,non-word
hight,text,NW_legal,non-word,F,non-word
scope,text,LF_17.41,word,J,word
truth,text,HF_132.23,word,J,word
jower,text,NW_legal,non-word,F,non-word
ridge,text,LF_17.11,word,J,word
mouth,text,HF_142.23,word,J,word
wrist,text,HF_21.57,word,J,word
slade,text,NW_legal,non-word,F,non-word
gound,text,NW_legal,non-word,F,non-word
fushy,text,NW_legal,non-word,F,non-word
quota,text,LF_4.52,word,J,word
razor,text,LF_8.01,word,J,word
grake,text,NW_legal,non-word,F,non-word
sauce,text,LF_16.27,word,J,word
nound,text,NW_legal,non-word,F,non-word
liver,text,LF_14.22,word,J,word
media,text,HF_43.13,word,J,word
eagle,text,LF_7.65,word,J,word
ozone,text,LF_3.73,word,J,word
flass,text,NW_legal,non-word,F,non-word
betch,text,NW_legal,non-word,F,non-word
tiver,text,NW_legal,non-word,F,non-word
slace,text,NW_legal,non-word,F,non-word
sheed,text,NW_legal,non-word,F,non-word
natch,text,NW_legal,non-word,F,non-word
nolly,text,NW_legal,non-word,F,non-word
piano,text,HF_26.99,word,J,word
laper,text,NW_legal,non-word,F,non-word
mowel,text,NW_legal,non-word,F,non-word
straw,text,HF_23.49,word,J,word
solly,text,NW_legal,non-word,F,non-word
shase,text,NW_legal,non-word,F,non-word
maple,text,LF_3.25,word,J,word
youth,text,HF_64.28,word,J,word
saker,text,NW_legal,non-word,F,non-word
tound,text,NW_legal,non-word,F,non-word
puppy,text,LF_5.24,word,J,word
trime,text,NW_legal,non-word,F,non-word
snail,text,LF_2.77,word,J,word
squad,text,LF_10.06,word,J,word
dozen,text,HF_60.9,word,J,word
slare,text,NW_legal,non-word,F,non-word
beard,text,HF_23.19,word,J,word
cobra,text,LF_2.11,word,J,word
tolly,text,NW_legal,non-word,F,non-word
angel,text,LF_11.45,word,J,word
nover,text,NW_legal,non-word,F,non-word
wheat,text,HF_30.72,word,J,word
beach,text,HF_62.89,word,J,word
robin,text,LF_11.87,word,J,word
flute,text,LF_2.65,word,J,word
citer,text,NW_legal,non-word,F,non-word
bolly,text,NW_legal,non-word,F,non-word
honey,text,HF_21.08,word,J,word