stimulusValue;stimulusValueType;stimulusType;correctResponse;keyCode;keyLabel;keyIndex;response
As;text;pre_ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
the;text;pre_ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
crowd;text;pre_ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
applauded;text;pre_ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
the;text;pre_ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
actress;text;ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
twirled;text;disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
her;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
hair;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
around;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
her;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
finger.;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
Did the actress play with her hair?;text;Question-GP-no_comma-factual;Yes;ArrowLeft;Yes;0;Yes
While;text;pre_ambiguity-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
the;text;pre_ambiguity-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
penguins;text;pre_ambiguity-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
raced;text;pre_ambiguity-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
the;text;pre_ambiguity-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
zookeeper;text;ambiguity-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
tidied;text;disambiguation-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
up;text;post_disambiguation-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
the;text;post_disambiguation-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
messy;text;post_disambiguation-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
enclosure.;text;post_disambiguation-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
Did the penguins race the zookeeper?;text;Question-GP-no_comma-good_enough;No;ArrowRight;No;1;No
Once;text;pre_ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
the;text;pre_ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
security;text;pre_ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
guard;text;pre_ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
checked;text;pre_ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
the;text;pre_ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
student;text;ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
hoisted;text;disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
the;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
cooler;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
on;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
his;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
back.;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
Did the student hoist a grill?;text;Question-GP-no_comma-factual;No;ArrowRight;No;1;No
After;text;pre_ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
the;text;pre_ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
manager;text;pre_ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
interrupted,;text;pre_ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
the;text;pre_ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
engineer;text;ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
wailed;text;disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
that;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
he;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
never;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
had;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
enough;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
time.;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
Did the manager interrupt?;text;Question-GP-comma-factual;Yes;ArrowLeft;Yes;0;Yes
While;text;pre_ambiguity-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
the;text;pre_ambiguity-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
truck;text;pre_ambiguity-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
drove;text;pre_ambiguity-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
past,;text;pre_ambiguity-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
Fred;text;ambiguity-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
stared;text;disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
at;text;post_disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
the;text;post_disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
coach's;text;post_disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
car.;text;post_disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
Was Fred passed by the truck?;text;Question-GP-comma-good_enough;No;ArrowRight;No;1;No
While;text;pre_ambiguity-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
the;text;pre_ambiguity-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
reporter;text;pre_ambiguity-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
wrote;text;pre_ambiguity-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
the;text;pre_ambiguity-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
CEO;text;ambiguity-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
proffered;text;disambiguation-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
a;text;post_disambiguation-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
new;text;post_disambiguation-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
product;text;post_disambiguation-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
for;text;post_disambiguation-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
him;text;post_disambiguation-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
to;text;post_disambiguation-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
review.;text;post_disambiguation-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
Was the reporter writing to the CEO?;text;Question-GP-no_comma-good_enough;No;ArrowRight;No;1;No
While;text;pre_ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
the;text;pre_ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
physicist;text;pre_ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
taught,;text;pre_ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
Kirk;text;ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
squinted;text;disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
at;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
the;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
equations;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
on;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
the;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
blackboard.;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
Was the physicist teaching?;text;Question-GP-comma-factual;Yes;ArrowLeft;Yes;0;Yes
After;text;pre_ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
the;text;pre_ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
customer;text;pre_ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
paid,;text;pre_ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
the;text;pre_ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
cashier;text;ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
intimated;text;disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
that;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
the;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
store;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
was;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
overpriced.;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
Was  the store cheap?;text;Question-GP-comma-factual;No;ArrowRight;No;1;No
When;text;pre_ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
the;text;pre_ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
fighting;text;pre_ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
finished,;text;pre_ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
the;text;pre_ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
rebels;text;ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
waylaid;text;disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
the;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
travellers;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
on;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
the;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
dusty;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
road.;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
Were the rebels waylaid?;text;Question-GP-comma-factual;No;ArrowRight;No;1;No
Once;text;pre_ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
the;text;pre_ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
nurse;text;pre_ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
rang;text;pre_ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
the;text;pre_ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
doctor;text;ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
ambled;text;disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
over;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
to;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
the;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
operating;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
room.;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
Did the doctor amble?;text;Question-GP-no_comma-factual;Yes;ArrowLeft;Yes;0;Yes
Before;text;pre_ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
the;text;pre_ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
boy;text;pre_ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
visited;text;pre_ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
the;text;pre_ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
girl;text;ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
tweezed;text;disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
her;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
eyebrows;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
and;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
put;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
on;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
make-up.;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
Did the girl paint her nails?;text;Question-GP-no_comma-factual;No;ArrowRight;No;1;No
After;text;pre_ambiguity-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
the;text;pre_ambiguity-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
roommate;text;pre_ambiguity-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
prepared,;text;pre_ambiguity-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
Kevin;text;ambiguity-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
rapped;text;disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
his;text;post_disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
wine;text;post_disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
glass;text;post_disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
with;text;post_disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
his;text;post_disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
knife.;text;post_disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
Was the roommate preparing himself?;text;Question-GP-comma-good_enough;Yes;ArrowLeft;Yes;0;Yes
While;text;pre_ambiguity-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
Ruby;text;pre_ambiguity-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
drove,;text;pre_ambiguity-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
Clay;text;ambiguity-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
scoured;text;disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
the;text;post_disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
passing;text;post_disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
landscape;text;post_disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
for;text;post_disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
a;text;post_disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
McDonald's.;text;post_disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
Was Clay driven by Ruby?;text;Question-GP-comma-good_enough;No;ArrowRight;No;1;No
When;text;pre_ambiguity-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
the;text;pre_ambiguity-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
teacher;text;pre_ambiguity-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
lectured;text;pre_ambiguity-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
the;text;pre_ambiguity-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
students;text;ambiguity-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
entrusted;text;disambiguation-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
notes;text;post_disambiguation-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
to;text;post_disambiguation-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
each;text;post_disambiguation-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
other.;text;post_disambiguation-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
Did the teacher lecture the students?;text;Question-GP-no_comma-good_enough;No;ArrowRight;No;1;No
At;text;pre_ambiguity-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
the;text;pre_ambiguity-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
dinner,;text;pre_ambiguity-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
while;text;pre_ambiguity-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
Alex;text;pre_ambiguity-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
served,;text;pre_ambiguity-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
his;text;pre_ambiguity-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
guest;text;ambiguity-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
disclosed;text;disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
that;text;post_disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
she;text;post_disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
was;text;post_disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
pregnant.;text;post_disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
Did the guest announce something?;text;Question-GP-comma-good_enough;No;ArrowRight;No;1;No
While;text;pre_ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
the;text;pre_ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
woman;text;pre_ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
raced,;text;pre_ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
Kari;text;ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
strode;text;disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
ahead;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
in;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
the;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
last;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
lap;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
